rank,source_db,trial_id,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_oos_sharpe,std_oos_sharpe,sample_skew,sample_kurtosis_raw,n_observations,pbo_pool_score,pbo_pool_robustness,dsr_score,dsr_z_star,dsr_e_max_h0,dsr_robustness
1,w3a,688,2.070452544994994,0.9599797252370144,0.6660102959800882,1.8689338505718593,1.6797135065494202,-0.4672976497007636,2.019510973207988,6,1,weak,0.2066799591535402,-0.8179950220569286,2.4770749843623228,weak
2,w3a,266,2.495725987127269,1.689391770820196,0.31746141364240354,1.6779489794312328,2.3312485246392316,-0.7628115136468032,2.2181497708807014,6,1,weak,0.15652911755657772,-1.0088257518368633,2.4770749843623228,weak
3,tpe,80,3.251093643341854,2.9946955221832248,0.5170663071643644,1.718110028576118,2.178396183404912,-0.37164844530317886,2.1036513169657236,6,1,weak,0.13927727491529007,-1.083572315863722,2.4770749843623228,weak
4,tpe,83,3.2075383511511166,2.9017157691445568,0.46563237402518487,1.6781922063571733,2.2914347665691026,-0.4930548780857219,2.187394377204327,6,1,weak,0.13685197306529506,-1.0945727466888027,2.4770749843623228,weak
5,tpe,82,3.1024794024582447,2.968260922596926,0.5153621151007033,1.6147978534682224,2.1505826653020983,-0.28911645864315294,2.1432427765732482,6,1,weak,0.09742567009421432,-1.2963608189805247,2.4770749843623228,weak
6,w3a,629,2.082407389622687,1.1366705033942943,0.5166617788870911,1.5382951567285683,2.3747283123615253,-0.5033623797970841,1.507759089404406,6,1,weak,0.07250678749357525,-1.4573728318248338,2.4770749843623228,weak
7,tpe,23,18.502624524551607,37.39591550273075,0.5414089090346627,1.5212518206986527,2.318641466414023,-0.2508745760482749,2.11800026816487,6,1,weak,0.06672333542592607,-1.5006480675823646,2.4770749843623228,weak
8,w3a,284,2.1717362196175096,1.254551917264897,0.24738183038550285,1.2343776001121383,2.0421507118933637,-1.05842009995545,2.7511163476180323,6,1,weak,0.05354185490504998,-1.6114406301044688,2.4770749843623228,weak
9,tpe,137,2.3881011471792384,1.5882554683421368,0.41686250729958996,1.1879777712862873,2.172209594108883,-1.1256033177583527,2.7116297726859093,6,1,weak,0.04640078489723004,-1.6808007744451505,2.4770749843623228,weak
10,tpe,121,2.3584641417301717,1.5672432579465176,0.41657112876306307,1.1725465104501565,2.1559847934753096,-1.15230331735821,2.7384719189254625,6,1,weak,0.04468460249336953,-1.6987342705149946,2.4770749843623228,weak
11,tpe,129,2.3564882417980373,1.5639661820774626,0.416569992292794,1.168810208640103,2.15386735927991,-1.1521035058973932,2.7400622032107234,6,1,weak,0.04401735115037669,-1.7058566948863805,2.4770749843623228,weak
12,tpe,130,2.3562562537390215,1.5638826993158312,0.4165542453596068,1.1686019910450396,2.1537912792895932,-1.1521964859032738,2.7402866415307074,6,1,weak,0.04398488613630597,-1.706205449907576,2.4770749843623228,weak
13,tpe,123,2.3552097733023993,1.5635063697914857,0.41648273758523546,1.1676626742210086,2.153447362127776,-1.1526144926486137,2.7412981392324998,6,1,weak,0.043838555237065036,-1.7077799893300472,2.4770749843623228,weak
14,tpe,118,2.3535219598859602,1.5629002702045816,0.4163657575879281,1.1661475672683146,2.15289025561012,-1.1532837355604943,2.7429262691871235,6,1,weak,0.04360296164249167,-1.710323938060354,2.4770749843623228,weak
15,tpe,131,2.3472735080789358,1.549004514251482,0.41659543817723355,1.1561177011275587,2.1470636550042532,-1.1501153336668744,2.7434300857481055,6,1,weak,0.04173893666695083,-1.7308532140541641,2.4770749843623228,weak
16,tpe,52,36.17263419319467,77.28698004759991,0.36209813939724556,1.3802102275542019,2.975839782335256,-0.17023240523772498,2.449222053384307,6,1,weak,0.03855609844703772,-1.767692714937537,2.4770749843623228,weak
17,tpe,172,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
18,tpe,173,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
19,tpe,174,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
20,tpe,175,2.2578394481082475,1.6502514921952522,0.45986638003594627,1.2627534342447082,2.168970656196132,-0.6368230120219878,2.3065413711490974,6,1,weak,0.03747471960646437,-1.7807730343304196,2.4770749843623228,weak
