rank,trial_id,score,profit_factor,sharpe,trades,win_rate_pct,max_dd_pct,final_equity,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_bb_ma_type,p_bb_period,p_bb_stddev,p_risk_per_trade,p_rsi_overbought,p_rsi_oversold,p_rsi_period,p_swing_lookback_bars,p_tp_rr_ratio
1,0,-inf,0,0,0,0,0,10000,1,14,35.53114818005548,0,1,227,0.5247214065846215,0.010686856359099122,76.2243526927804,26.061366415865905,7,12,1.5081302408823998
2,1,-inf,0,0,0,0,0,10000,1,14,43.642902643522035,0,1,178,0.31270399535262416,0.02046078265086824,73.28058384761108,15.188895005162902,5,11,3.1161262672756336
3,2,-inf,5.566063850612286,2.453206009370714,4,50,3.9493320790101096,10887.99731074516,1,14,41.915809885882,1,1,201,0.24679580915984103,0.017020216449596913,76.71339224780202,26.91577318638989,3,18,3.13650154960585
4,3,-inf,-0,-0.02135778424688851,2,0,4.473362750493806,9984.285758604845,1,14,33.47973430932216,0,1,285,0.8954426484968738,0.022977830994155277,73.31158301726236,23.65550573806106,4,11,2.570654985434944
5,4,-inf,0,0,0,0,0,10000,1,14,44.73308892471546,0,1,190,0.22258657854933228,0.013083948166462855,75.76855979719355,22.371189447601893,7,27,2.8644604524276263
6,5,-inf,88.20142355452147,1.393263651454365,3,33.33333333333333,3.960796879850923,10465.553585559326,1,14,40.37705222122337,0,1,215,0.3878946847930914,0.01766373873681641,75.90651500847213,18.43548571068269,3,23,2.694977493898863
7,6,-inf,0,0,0,0,0,10000,1,14,44.34047617914847,1,1,193,0.627413692167172,0.012216810251713017,74.9303783029992,18.66954077999753,5,24,1.6483568684671197
8,7,-inf,1.109173268750206,0.2805132909754462,10,20,9.647185156229256,10129.083454753363,1,14,34.55981729886645,0,1,274,0.6542759318382567,0.01971638443043676,76.71321843656824,28.948944976248185,2,20,3.391785383823663
9,8,-inf,-0,0.04964963129014039,1,0,7.141928511802884,9988.729516841762,1,14,31.40373135245028,1,1,176,0.7780834670376173,0.02369120599183176,78.64321650604164,16.19288964875502,4,24,3.8323327611209264
10,9,-inf,0,0,0,0,0,10000,1,14,26.75620125260426,0,1,215,0.8261336629581779,0.025277726071964032,74.83808151972265,17.50186301705339,6,28,2.293799919667923
