rank,trial_id,score,profit_factor,sharpe,trades,win_rate_pct,max_dd_pct,final_equity,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_bb_ma_type,p_bb_period,p_bb_stddev,p_risk_per_trade,p_rsi_overbought,p_rsi_oversold,p_rsi_period,p_swing_lookback_bars,p_tp_rr_ratio
1,552,1.7231797549946537,1.5448977921510705,1.7828196284358324,42,30.952380952380953,15.41068482009744,12245.99339822727,1,14,25.82017993354173,0,1,262,0.31410951773638607,0.024161390344908655,73.79995567804002,24.467401284802506,2,15,2.491994624057012
2,119,1.5833838756299659,1.4612794979213053,1.2210437770866067,30,26.666666666666668,10.254896822123396,11038.72616854749,1,14,35.27295832081549,1,1,299,0.22771671594894213,0.020032686958726925,71.35071281232733,21.704375508151315,2,13,2.936215287897782
3,957,0.9854303868091172,0.9794501917070076,0.059801951021096915,37,16.216216216216218,12.917303250623254,9927.334188928326,1,14,32.983599798034405,0,1,78,0.388264355821608,0.020295439033910578,78.93758562370209,22.99993753346636,2,13,3.741191058602806
4,54,0.930689743643166,0.930689743643166,-0.09347687875101038,39,15.384615384615383,14.712124872267973,9791.009791595356,1,14,26.339881429703023,1,1,142,0.6130492033023116,0.017314623335133603,74.5250685789817,23.04418052146216,2,13,3.1838179366515504
5,575,0.9244622596259018,0.9244622596259018,-0.18078538437637767,30,26.666666666666668,8.488528440974731,9845.513813907402,1,14,29.1108327778266,1,1,263,0.24328577338894067,0.02168714947018705,71.30517737509076,19.23743988853368,3,13,2.4255010070720022
6,998,0.916754212379603,0.916754212379603,-0.33748062484311464,64,28.125,11.51603499129273,9736.700977985924,1,14,29.997667591499443,0,1,210,0.43796504883942144,0.011186034894975326,75.64017596200385,19.766993824091415,2,11,1.8418081786697147
7,181,0.8879219008618114,0.8879219008618114,-0.19259405949184744,36,19.444444444444446,12.26986429432938,9794.160330483315,1,14,27.325253096007422,0,1,234,0.2409657512259207,0.028555788867022168,82.60289930664567,21.77324980145658,3,14,3.387856423805391
8,733,0.8753579892679454,0.8753579892679454,-0.45912685659165625,48,29.166666666666668,9.49710418501748,9622.935291364192,1,14,25.74160951384771,0,1,129,0.3387061829530048,0.014232554742094564,71.97947633495122,17.081847968586523,2,19,1.5536729486546756
9,829,0.8441926944320128,0.8441926944320128,-0.4921216123819071,40,12.5,7.982079579314022,9699.49571587684,1,14,37.23091849687851,1,1,113,0.20640579478346732,0.010167974117943212,74.48701051522043,21.039816147766537,2,11,3.762747852928811
10,782,0.8415568261239346,0.8415568261239346,-0.4969360548507905,35,22.857142857142858,7.138836280669436,9692.95188761377,1,14,27.73428098636858,0,1,150,0.6801348069736782,0.016142893977938354,82.75125226269867,26.449526412844108,3,12,2.5336143914028595
