rank,trial_id,score,profit_factor,sharpe,trades,win_rate_pct,max_dd_pct,final_equity,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
1,515,2.1625890622034376,2.007609402730501,1.5497965947293677,60,31.666666666666664,7.038144766423756,12709.78503365356,1,14,28.116151876827914,0,23,0.010149775261183974,55,63,0,24,13,2.5727380557737956
2,306,2.015288717291804,1.869956334489359,1.45332382802445,60,33.33333333333333,13.947327714134724,17491.08123925774,1,14,29.34144212586437,1,39,0.028262703976070967,49,61,0,22,11,2.4653026212573375
3,494,1.8057048959889168,1.6859058673096798,1.19799028679237,64,26.5625,13.71227655116098,15129.671098281044,1,14,30.669782425390753,1,29,0.02623712674954072,40,68,0,25,11,2.735850944080219
4,836,1.6805740974974452,1.561934375668108,1.1863972182933729,68,27.941176470588236,14.305476574019096,14157.152718560312,1,14,26.410209921992077,1,40,0.019503641999439564,56,47,0,30,8,2.75502717285099
5,436,1.6359534745086464,1.5438876342871315,0.9206584022151478,62,22.58064516129032,8.654984673021088,11903.757015418314,1,14,35.68830609645195,1,21,0.012527051955271025,43,59,0,20,10,2.936705429856855
6,986,1.51786635414732,1.430141571568073,0.87724782579247,69,28.985507246376812,8.734290113676032,11809.401059338092,1,14,28.374169317028972,0,24,0.012991686589458826,42,65,0,30,13,2.3281953117482344
7,934,1.4909084485714865,1.4059997526852623,0.8490869588622414,74,25.675675675675674,10.28553280165545,11980.423325696283,1,14,29.204624797172013,0,26,0.014926705079997549,51,67,0,26,12,2.398578711558068
8,418,1.4765111016750583,1.3775311706137403,0.98979931061318,73,38.35616438356164,9.168167603071968,12278.12781983078,1,14,38.99054065299681,0,40,0.015857476207853972,47,64,0,26,10,1.7988943321412851
9,39,1.4731816299133444,1.3669925098093485,1.0618912010399617,94,41.48936170212766,13.211850589480834,13014.593471655216,1,14,29.230572548824885,1,37,0.01796885255357855,50,57,0,25,8,1.51253020757089
10,460,1.4484716781421858,1.3686093570562226,0.7986232108596321,66,25.75757575757576,14.159866064569066,12176.718557788165,1,14,26.062535074876696,1,40,0.016912892726401653,41,50,0,25,7,2.7864278820398187
