rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
1,101,1.5842030846092416,2.023685893489344,1.0744822040792334,0.4728215446371226,1.8069695512559898,-0.216716342233354,6,1,14,28.33285191097479,0,39,0.013950464214534351,54,52,0,25,10,2.6
2,93,1.5818480512676754,2.0144788546648487,1.0620094282359442,0.47262963840439026,1.7923084589954978,-0.22217039566935082,6,1,14,28.77034601251614,0,39,0.014078807034758486,54,52,0,25,10,2.6
3,88,1.5815723689608836,2.0143184653845894,1.0619827751514839,0.4725085603694595,1.7921145826221139,-0.2222038827624755,6,1,14,28.880271038411127,0,39,0.014093940029241655,54,52,0,25,10,2.6
4,83,1.5403846895539681,3.2075383511511166,2.9017157691445568,0.46563237402518487,2.3575368338567184,-0.8500015172943982,6,1,14,28.892152667900508,0,39,0.014203028167202916,54,51,0,26,10,2.562692558145277
5,80,1.5073245089506986,3.251093643341854,2.9946955221832248,0.5170663071643644,2.435199953808073,-0.8158936895337812,6,1,14,28.83255956780229,0,39,0.0142037073181572,54,51,0,25,11,2.557046832877887
6,32,1.3942941283759542,1.6427607231023804,0.7025777641128229,0.40959513234393974,1.3930054483640262,-0.24975527473835424,6,1,14,29.058605721498957,0,36,0.014448478768503374,51,54,0,28,8,2.2744379555354675
7,113,1.3913415131714983,1.982763276198954,1.1292137633134098,0.41765219118015856,1.8035422034477164,-0.17922107275123755,6,1,14,26.701854130355557,0,39,0.01344233739503296,54,51,0,24,10,2.6
8,124,1.3898323608242205,1.9827080690338124,1.1302708951230966,0.4164642441437311,1.8042590086765873,-0.17844906035722508,6,1,14,26.504364417613587,0,39,0.013360169324782165,55,51,0,24,10,2.6
9,125,1.3784181615004405,1.9808768682970117,1.1298569980755988,0.4211815071199589,1.8413903576172013,-0.13948651067981044,6,1,14,26.95953424955965,0,39,0.013296414783308449,55,51,0,24,10,2.6
10,122,1.3773455567854,1.979723369237469,1.130230706034318,0.4177512273042922,1.826035756305669,-0.1536876129317999,6,1,14,26.811438155880197,0,39,0.013340591827955883,55,51,0,24,10,2.6
11,102,1.3752444300919466,1.9563377114279399,1.0659661539773944,0.47329094259285326,1.7595283222688867,-0.19680938915905322,6,1,14,27.9201739963854,0,39,0.013683697428857224,54,51,0,25,10,2.6
12,116,1.3748338505920237,1.9789015954402165,1.1285097007415308,0.4210002230286799,1.8395284124222222,-0.13937318301799428,6,1,14,26.966115441148578,0,39,0.013445008340096857,54,51,0,24,10,2.6
13,105,1.3729985801719562,1.9554755354876299,1.0662032718572394,0.47329733713523137,1.7581882452213569,-0.197287290266273,6,1,14,27.788485615591565,0,39,0.013747638935741753,54,51,0,24,10,2.6
14,112,1.3723694831998463,1.9775416576606542,1.127585419515678,0.42087362628553737,1.8130156201966903,-0.16452603746396388,6,1,14,26.952823837850207,0,39,0.01354879190703894,55,51,0,24,10,2.6
15,119,1.3718556198871708,1.9772578940442518,1.1273929002254326,0.4208470250701349,1.838000798401664,-0.1392570956425878,6,1,14,26.96919935018791,0,39,0.01357060113306102,55,51,0,24,10,2.6
16,109,1.3693943884912756,1.975897827654256,1.126471797885017,0.4207186289924575,1.8367367112801334,-0.13916111637412265,6,1,14,26.991248254663873,0,39,0.013675875736867358,54,51,0,24,10,2.6
17,106,1.3670511509604146,1.9745038651969793,1.127218429943032,0.41949641840911883,1.8347927216203017,-0.13971114357667758,6,1,14,27.277769070588025,0,39,0.01371369787086658,54,51,0,24,10,2.6
18,12,1.3667197547026224,1.4621619207698753,0.6427945476591281,0.35116694865813003,1.2727581424986194,-0.18940377827125587,6,1,14,30.20096708574658,0,37,0.014553120136056957,50,55,0,30,9,2.378860841893907
19,68,1.365660677940267,1.6331558387988705,0.6463877836820877,0.47767569320365355,1.41466450116655,-0.21849133763232054,6,1,14,29.086281030291744,0,37,0.014168857051586235,52,54,0,28,10,2.366490206481074
20,79,1.354359180861572,1.7028744803653557,0.8051284557005786,0.44393464695566365,1.544219464166825,-0.15865501619853073,6,1,14,28.933652729605328,0,39,0.014203587805769122,53,51,0,26,10,2.4449873881411337
21,3,1.3542419585866199,1.6697811026765221,0.9995148153563811,0.36252893107943346,1.45141540066496,-0.21836570201156213,6,1,14,28.982181823819975,0,38,0.01478317470369704,52,56,0,28,7,2.412640761116525
22,104,1.3453017015437088,1.9432052939273357,1.0540967835322383,0.4733163136384727,1.7712194044875276,-0.17198588943980808,6,1,14,28.738932769792328,0,39,0.01373705977524976,54,51,0,24,10,2.6
23,96,1.34028090882473,1.9492815996183603,1.0663352806711646,0.4730421678194269,1.7680330864306975,-0.18124851318766289,6,1,14,28.43038296670548,0,39,0.013920354755760167,54,51,0,25,10,2.6
24,99,1.3389251678936476,1.9487529310775251,1.0662990671318224,0.47278305849129215,1.7568182774637695,-0.1919346536137556,6,1,14,28.299924828721178,0,39,0.0139817057276529,54,51,0,25,10,2.6
25,94,1.3388121450654493,1.9487390316400914,1.0662542087115412,0.4729427421507186,1.7676249595000095,-0.1811140721400819,6,1,14,28.45756120906685,0,39,0.013986840472609669,54,51,0,25,10,2.6
26,89,1.336721432079821,1.9400333824431766,1.053602668043382,0.47273762647211065,1.7664759181660024,-0.17355746427717422,6,1,14,28.871729721724332,0,39,0.014124016537786862,54,51,0,25,10,2.6
