rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
1,559,25.4257915576206,110.81304304097556,170.77450296670992,0,1.9498271635892992,-108.86321587738625,9,1,14,39.37613358858219,1,31,0.020313151373225785,58,69,0,28,10,1.7661967306417756
2,437,5.529203426927012,178.10098533957643,345.1435638252988,0,2.644508748442179,-175.45647659113425,9,1,14,39.899559413067635,1,27,0.01392794216976707,49,42,0,30,8,1.7507039575372068
3,578,4.832741179657329,26.292234287365186,42.918986215415714,0,2.0920944804731616,-24.200139806892025,9,1,14,26.430912918630895,0,23,0.010420080825527617,41,43,0,22,7,3.4235006381080804
4,301,2.891016839214771,35.35476191011289,64.92749014179624,0,1.1844338490558652,-34.17032806105703,9,1,14,39.301691344993976,0,31,0.01339616844473744,54,44,0,29,11,1.9692479653290431
5,158,1.8181068734704198,7.781832667312632,11.927451587684425,0.0158450852638182,1.2181839153787832,-6.563648751933849,9,1,14,25.43423156367428,0,28,0.018825630426246538,43,70,0,22,10,2.887103201191217
6,515,1.6640378127020483,35.92005960449074,68.51204358357738,0.020626922898015213,3.717388945552079,-32.20267065893866,9,1,14,28.116151876827914,0,23,0.010149775261183974,55,63,0,24,13,2.5727380557737956
7,308,1.2711038859680173,167.58282816443548,332.62344855693493,0,1.5628527163783197,-166.01997544805715,9,1,14,43.05975173997264,0,24,0.020518358957288464,41,48,0,27,8,1.93640792259449
8,410,1.166191698725104,28.173105502712684,54.01382760797516,0,1.7354413740579888,-26.437664128654696,9,1,14,28.973872230984114,0,22,0.010698736141232762,50,42,0,25,8,2.7435140474337905
9,570,1.1140698449264448,1.959992245025988,1.6918448001990862,0.33605850437429274,1.4066117205012194,-0.5533805245247685,9,1,14,34.98549016904981,1,38,0.017540137651540492,55,69,0,21,10,2.0471870415614135
10,346,1.1031572598623136,1.8762395881897485,1.5461646566548697,0,1.5486418009200347,-0.3275977872697138,9,1,14,31.4609922571022,0,38,0.012298638241729424,44,70,0,23,9,2.232811637444457
11,494,1.0995370523438432,2.1579339355611675,2.1167937664346486,0.012223776305114882,2.2152969718363362,0.0573630362751687,9,1,14,30.669782425390753,1,29,0.02623712674954072,40,68,0,25,11,2.735850944080219
12,739,1.08066375526832,1.88405725683117,1.6067870031256999,0.33362613023616244,1.3581829253982793,-0.5258743314328906,9,1,14,33.525956680803645,0,22,0.01737102888281191,53,45,0,20,12,1.5289231148810865
13,109,1.02828829360013,2.1400691857554306,2.223561784310601,0.11709200092803929,2.007228937630406,-0.13284024812502437,9,1,14,25.992130952933927,0,31,0.016610889777013287,60,59,0,25,9,2.509911296561479
14,194,1.0177628018872251,1.8896285208838646,1.743731437993279,0,1.4232926887115587,-0.4663358321723059,9,1,14,30.88549240126275,0,29,0.01877959377016349,60,65,0,30,13,1.8452473918741468
15,343,1.0162390641471586,2.1177763971077628,2.2030746659212084,0.39292847947858117,1.5202801703638888,-0.5974962267438739,9,1,14,36.66089464865942,0,29,0.01464061636137021,60,63,0,26,10,1.8881874887195536
16,440,0.9901635932179957,1.5593764593327695,1.1384257322295475,0.02513979263821773,1.367001862448421,-0.19237459688434844,9,1,14,28.65025997601689,1,37,0.014248985669603212,57,64,0,30,7,2.018015706637921
17,460,0.9849739767435128,2.235974070294282,2.5020001871015385,0,2.4876503739079814,0.2516763036136993,9,1,14,26.062535074876696,1,40,0.016912892726401653,41,50,0,25,7,2.7864278820398187
18,777,0.9721591111127241,1.9126775829598524,1.8810369436942564,0.5081905668915764,1.3480596927096502,-0.5646178902502021,9,1,14,35.45661887619351,0,32,0.01116608649529331,59,57,0,26,12,1.673274656050313
19,387,0.967345959803745,2.0024046810511607,2.070117442494831,0.1803331742136352,1.5847085787926711,-0.4176961022584895,9,1,14,25.940114962771617,0,27,0.016378513738571396,44,55,0,30,10,2.2860564262252785
20,306,0.9606148485403542,1.9334097080727775,1.9455897190648466,0.025142700318569248,2.1662156591134174,0.23280595104063995,9,1,14,29.34144212586437,1,39,0.028262703976070967,49,61,0,22,11,2.4653026212573375
21,778,0.9547163537660623,1.8546420311408918,1.7998513547496588,0.44535887638109933,1.3485629848850555,-0.5060790462558362,9,1,14,35.23516841341099,0,27,0.0163623969631897,55,58,0,24,7,2.086560322999474
22,497,0.9475605955533358,1.8036761547771067,1.7122311184475418,0.01408080992126989,1.1669874612161513,-0.6366886935609555,9,1,14,32.48914901434889,0,31,0.021682544721531437,58,63,0,20,10,1.9837527347674593
23,0,0.9332002908590916,1.7626604333088094,1.6589202848994355,0.33017769860041735,1.3775762892047727,-0.3850841441040367,9,1,14,35.53114818005548,0,33,0.018118035164615538,41,52,0,28,12,1.828197222918587
24,402,0.9311849454435617,1.8064303931180303,1.7504908953489373,0.2582338997495116,1.283800476441268,-0.5226299166767623,9,1,14,25.435118280834036,1,26,0.01030974131265487,60,46,0,30,12,1.724055844980502
25,445,0.9175922110771149,1.9467092209817325,2.0582340198092353,0.30010145720140435,1.5825575708773338,-0.36415165010439865,9,1,14,37.2367804551153,1,31,0.014261067438521005,46,58,0,30,13,1.755365653219672
26,525,0.9134192562814429,1.9882414498902738,2.149644387217662,0.2817176542387719,1.2733941134651,-0.714847336425174,9,1,14,25.220911129731572,0,33,0.012967045594476718,47,51,0,30,7,1.5518862831828892
27,906,0.9066262777440989,1.7824385372975324,1.7516245191068671,0.45512257003210216,1.4012383862608384,-0.381200151036694,9,1,14,33.83344124816711,0,24,0.02193261800992052,52,59,0,25,9,2.0662692078059863
28,38,0.9039624355622576,1.6629678662471095,1.5180108613697036,0.011900997353739335,1.221878076568152,-0.4410897896789574,9,1,14,29.95312034831646,0,30,0.01143992079723423,56,60,0,20,8,2.263182989149486
29,859,0.8996018521911076,2.2481670054870744,2.6971303065919336,0.24168842392643883,1.6011882908538164,-0.646978714633258,9,1,14,34.291465798022514,1,37,0.01731708309101735,42,40,0,30,8,1.5616776416492093
30,688,0.8984886044595166,1.9886124315164142,2.180247654113795,0.2687133680519186,1.5471995625379376,-0.44141286897847665,9,1,14,36.978718005343346,0,34,0.014285170331365397,51,69,0,30,12,1.5333143125823283
31,623,0.8724602617992503,1.7452960691218307,1.7456716146451607,0.40360632796503715,1.6986851816778268,-0.04661088744400388,9,1,14,36.0375328204099,0,24,0.022380912775811605,40,59,0,23,13,2.3049570164446886
32,913,0.8672102079786288,1.5157352416198693,1.297050067282481,0.01729632531579053,1.3928863997841832,-0.12284884183568612,9,1,14,27.25577170299353,1,21,0.011206223455530184,48,54,0,30,11,1.7525885484207009
33,815,0.8563552859243578,1.6373655196950374,1.5620204675413591,0.24033772262029554,1.367596130419585,-0.26976938927545246,9,1,14,27.639301779934957,1,21,0.019284423369146233,40,64,0,25,12,2.0089803846401333
