rank,trial_id,aggregated_score,mean_oos_pf,std_oos_pf,worst_oos_pf,mean_is_pf,is_oos_decay,n_splits,survives,p_adx_filter_enabled,p_adx_period,p_adx_threshold,p_adx_use_di_confluence,p_kijun_period,p_risk_per_trade,p_score_threshold,p_senkou_b_period,p_session_filter_enabled,p_shift,p_tenkan_period,p_tp_rr_ratio
1,308,1.8096181721612328,2.6891493013983045,1.8330320748255517,0.26991036349396874,1.6572355866497943,-1.0319137147485102,6,0,1,14,43.05975173997264,0,24,0.020518358957288464,41,48,0,27,8,1.93640792259449
2,284,1.6255859126636392,2.1717362196175096,1.254551917264897,0.24738183038550285,1.5429178593835182,-0.6288183602339914,6,0,1,14,43.463461359235126,1,40,0.018468292276411887,55,52,0,26,13,1.5206281709303802
3,629,1.5465630692202863,2.082407389622687,1.1366705033942943,0.5166617788870911,1.651044828931436,-0.431362560691251,6,0,1,14,38.032167306582565,0,29,0.01127446694896756,56,57,0,20,12,1.887657802508944
4,906,1.535046190119682,1.8307612733937482,1.0198238773568273,0.28627178946871845,1.5007529312528753,-0.3300083421408728,6,0,1,14,33.83344124816711,0,24,0.02193261800992052,52,59,0,25,9,2.0662692078059863
5,266,1.5325819579463782,2.495725987127269,1.689391770820196,0.31746141364240354,1.8362557324878697,-0.6594702546393993,6,0,1,14,39.8052827811199,0,33,0.023058298797249924,41,67,0,30,10,1.9144400014218037
6,688,1.436164492385739,2.070452544994994,0.9599797252370144,0.6660102959800882,1.7038646514061584,-0.3665878935888356,6,1,1,14,36.978718005343346,0,34,0.014285170331365397,51,69,0,30,12,1.5333143125823283
7,623,1.4192503067890334,1.7538567109590586,0.8650793842960774,0.3927206062532194,1.7004961787229702,-0.05336053223608839,6,0,1,14,36.0375328204099,0,24,0.022380912775811605,40,59,0,23,13,2.3049570164446886
8,934,1.3818233256609744,1.828809048189752,0.8940859022322886,0.4202076921391839,1.601992681585821,-0.22681636660393112,6,0,1,14,29.204624797172013,0,26,0.014926705079997549,51,67,0,26,12,2.398578711558068
9,445,1.3398385279696006,2.704662923114937,2.78864339610634,0.5926276621528114,1.902413707283917,-0.8022492158310199,6,0,1,14,37.2367804551153,1,31,0.014261067438521005,46,58,0,30,13,1.755365653219672
10,559,1.3123193255512138,2.6458041991882464,1.592989461190702,0.45399590290827907,1.9820206339607076,-0.6637835652275388,6,0,1,14,39.37613358858219,1,31,0.020313151373225785,58,69,0,28,10,1.7661967306417756
11,39,1.3109317586153213,36.31165796951837,76.69439328960617,0.4875859079260469,2.3704043557304004,-33.94125361378797,6,0,1,14,29.230572548824885,1,37,0.01796885255357855,50,57,0,25,8,1.51253020757089
12,778,1.3021060302722647,1.8685571348752656,1.012600599941426,0.25676041161108926,1.4727313907298676,-0.39582574414539806,6,0,1,14,35.23516841341099,0,27,0.0163623969631897,55,58,0,24,7,2.086560322999474
13,978,1.2875918512798648,1.8429434591952543,0.9934983591789519,0.4223345676305953,1.5849911734888062,-0.257952285706448,6,0,1,14,28.83973920777548,0,35,0.01411631258448689,43,52,0,29,13,2.4362750197866623
14,142,1.2623915933569272,1.7370608170343143,0.8276943410455294,0.321503920261453,1.511168671877612,-0.2258921451567022,6,0,1,14,29.239001397810195,1,37,0.01373081082199029,45,69,0,20,10,2.621581141801948
15,586,1.2426096291525375,1.5480422069992745,0.6956104402177985,0.4674908437171358,1.2063252348556581,-0.3417169721436164,6,0,1,14,30.361552953400135,0,35,0.016216832386886443,59,53,0,25,8,1.5709830565972875
16,836,1.2284631719817507,14.438867635677349,26.636126497283293,0.45377817890213334,2.6067674184216396,-11.832100217255709,6,0,1,14,26.410209921992077,1,40,0.019503641999439564,56,47,0,30,8,2.75502717285099
17,440,1.2032378007914595,1.5326370547816806,0.7476357075584242,0.3209877848556963,1.422303044210875,-0.1103340105708055,6,0,1,14,28.65025997601689,1,37,0.014248985669603212,57,64,0,30,7,2.018015706637921
18,441,1.1973022736537677,1.8078927164395513,1.085083972908996,0.24371194638731924,1.5264970422393265,-0.2813956742002248,6,0,1,14,34.01411962923161,0,32,0.011987538518115005,42,68,0,23,11,1.960805266482732
19,703,1.1835718932931987,1.4861656447571638,0.7189936548757653,0.244637204129868,1.2767984925067841,-0.20936715225037972,6,0,1,14,32.12238597476865,1,26,0.016973209895836058,52,68,0,23,10,2.296850834670032
